#TIME             gpu_0_avail_GB    gpu_0_used_GB     gpu_1_avail_GB    gpu_1_used_GB     gpu_2_avail_GB    gpu_2_used_GB     gpu_3_avail_GB    gpu_3_used_GB     
1676376859        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376869        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376880        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376890        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376900        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376911        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376921        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376931        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376941        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376952        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376962        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376972        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376983        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676376993        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377003        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377013        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377024        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377034        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377044        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377055        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377065        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377075        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377087        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377098        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377108        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377118        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377129        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377139        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377149        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377160        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377170        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377180        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377190        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676377201        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
