#TIME             gpu_0_avail_GB    gpu_0_used_GB     gpu_1_avail_GB    gpu_1_used_GB     gpu_2_avail_GB    gpu_2_used_GB     gpu_3_avail_GB    gpu_3_used_GB     
1676375398        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375408        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375418        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375429        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375439        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375449        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
1676375460        1.049             15.076            1.049             15.076            15.833            0.292             15.833            0.292             
1676375470        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375480        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375491        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375501        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375511        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375522        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375532        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375542        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375552        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375563        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375573        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375583        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375594        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375604        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375614        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375625        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375635        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375645        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375656        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375666        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375676        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375687        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375697        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375707        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375718        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375728        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375738        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375748        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375759        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375769        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375779        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375790        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375800        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375810        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375821        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375831        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375841        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375852        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375862        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375872        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375883        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375893        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375903        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375913        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375924        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375934        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375944        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375955        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375965        1.049             15.076            1.049             15.076            1.049             15.076            1.049             15.076            
1676375975        0.825             15.300            1.041             15.084            1.041             15.084            0.971             15.154            
1676375986        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676375996        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376006        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376016        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376027        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376037        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376047        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376058        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376068        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376078        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376089        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376099        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376109        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376120        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376130        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376140        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376151        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376161        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376171        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376182        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376192        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376202        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376212        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376223        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376233        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376243        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376254        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376264        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376274        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376285        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376295        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376305        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376316        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376326        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376336        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376347        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376357        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376367        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376377        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376388        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376398        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376408        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376419        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376429        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376439        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376450        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376460        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376470        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376481        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376491        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376501        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376512        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376522        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376532        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376543        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376553        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376563        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376573        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376584        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376594        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376604        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376615        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376625        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376635        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376646        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376656        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376666        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376677        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376687        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376697        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376708        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376718        0.449             15.676            0.449             15.676            0.449             15.676            0.449             15.676            
1676376728        16.125            0.000             16.125            0.000             16.125            0.000             16.125            0.000             
